alarm_event_id,enterprise_id,event_type,device_ref,occurred_at,restored_at,quality,raw_ref
alarm-001,ent-001,fault,FACP-01-L1-01,2026-07-01T08:10:00+08:00,2026-07-01T09:10:00+08:00,valid,demo/alarm/001
alarm-002,ent-001,fault,FACP-01-L1-02,2026-07-02T10:20:00+08:00,2026-07-02T11:00:00+08:00,valid,demo/alarm/002
alarm-003,ent-001,fault,FACP-01-L2-03,2026-07-03T09:30:00+08:00,2026-07-03T10:15:00+08:00,valid,demo/alarm/003
alarm-004,ent-001,fault,FACP-01-L2-07,2026-07-04T13:40:00+08:00,2026-07-04T15:00:00+08:00,valid,demo/alarm/004
alarm-005,ent-001,fault,FACP-01-L3-02,2026-07-06T07:50:00+08:00,2026-07-06T09:05:00+08:00,valid,demo/alarm/005
alarm-006,ent-001,fault,FACP-01-L3-05,2026-07-07T11:10:00+08:00,2026-07-07T12:40:00+08:00,valid,demo/alarm/006
alarm-007,ent-001,fault,FACP-01-L4-01,2026-07-09T14:30:00+08:00,2026-07-09T15:20:00+08:00,valid,demo/alarm/007
alarm-008,ent-001,fault,FACP-01-L4-03,2026-07-11T08:15:00+08:00,2026-07-11T10:00:00+08:00,valid,demo/alarm/008
alarm-009,ent-001,fault,FACP-01-L5-02,2026-07-12T10:05:00+08:00,2026-07-12T10:55:00+08:00,valid,demo/alarm/009
alarm-010,ent-001,fault,FACP-01-L1-01,2026-07-14T15:40:00+08:00,2026-07-14T16:25:00+08:00,valid,demo/alarm/010
alarm-011,ent-001,fault,FACP-01-L2-03,2026-07-16T09:20:00+08:00,2026-07-16T11:45:00+08:00,valid,demo/alarm/011
alarm-012,ent-001,fault,FACP-01-L3-05,2026-07-18T12:10:00+08:00,2026-07-18T13:10:00+08:00,valid,demo/alarm/012
alarm-013,ent-001,fault,FACP-01-L4-01,2026-07-20T08:00:00+08:00,2026-07-20T09:30:00+08:00,valid,demo/alarm/013
alarm-014,ent-001,fault,FACP-01-L5-02,2026-07-22T13:15:00+08:00,2026-07-22T14:20:00+08:00,valid,demo/alarm/014
alarm-015,ent-001,fault,FACP-01-L2-07,2026-07-24T07:35:00+08:00,2026-07-24T08:50:00+08:00,valid,demo/alarm/015
alarm-016,ent-001,fault,FACP-01-L3-02,2026-07-26T10:45:00+08:00,2026-07-26T12:00:00+08:00,valid,demo/alarm/016
alarm-017,ent-001,fault,FACP-01-L4-03,2026-07-28T06:55:00+08:00,2026-07-28T08:05:00+08:00,valid,demo/alarm/017
alarm-018,ent-001,fault,FACP-01-L1-02,2026-07-29T08:42:00+08:00,,valid,demo/alarm/018
alarm-019,ent-001,fault,FACP-01-L1-01,2026-06-02T08:10:00+08:00,2026-06-02T09:00:00+08:00,valid,demo/alarm/019
alarm-020,ent-001,fault,FACP-01-L2-03,2026-06-08T11:20:00+08:00,2026-06-08T12:00:00+08:00,valid,demo/alarm/020
alarm-021,ent-001,fault,FACP-01-L3-05,2026-06-14T09:30:00+08:00,2026-06-14T10:30:00+08:00,valid,demo/alarm/021
alarm-022,ent-001,fault,FACP-01-L4-01,2026-06-21T13:40:00+08:00,2026-06-21T15:00:00+08:00,valid,demo/alarm/022
alarm-023,ent-001,fault,FACP-01-L5-02,2026-06-27T07:50:00+08:00,2026-06-27T09:05:00+08:00,valid,demo/alarm/023
