point_id,enterprise_id,controller_no,loop_no,point_no,device_type_code,device_type,location,protect_target,quality,raw_ref
pt-01-01-001,ent-005,1,1,1,3,点型感烟,PT1层消防通道烟感1,涂装车间一层疏散通道,ok,demo/points/pt-01-01-001
pt-01-01-002,ent-005,1,1,2,3,点型感烟,PT1层消防通道烟感2,涂装车间一层疏散通道,ok,demo/points/pt-01-01-002
pt-01-01-003,ent-005,1,1,3,3,点型感烟,PT1层消防通道烟感3,涂装车间一层疏散通道,ok,demo/points/pt-01-01-003
pt-01-01-004,ent-005,1,1,4,3,点型感烟,PT1层消防通道烟感4,涂装车间一层疏散通道,ok,demo/points/pt-01-01-004
pt-01-01-005,ent-005,1,1,5,3,点型感烟,PT1层消防通道烟感5,涂装车间一层疏散通道,ok,demo/points/pt-01-01-005
pt-01-01-006,ent-005,1,1,6,3,点型感烟,PT1层喷涂线烟感6,喷涂作业区,ok,demo/points/pt-01-01-006
pt-01-01-007,ent-005,1,1,7,3,点型感烟,PT1层喷涂线烟感7,喷涂作业区,ok,demo/points/pt-01-01-007
pt-01-01-008,ent-005,1,1,8,2,点型感温,PT1层烘干室感温8,烘干工艺段,ok,demo/points/pt-01-01-008
pt-01-01-009,ent-005,1,1,9,2,点型感温,PT1层烘干室感温9,烘干工艺段,ok,demo/points/pt-01-01-009
pt-01-01-016,ent-005,1,1,16,3,点型感烟,PT1层变电所烟感16,车间变电所,ok,demo/points/pt-01-01-016
pt-01-01-017,ent-005,1,1,17,3,点型感烟,PT1层变电所烟感17,车间变电所,ok,demo/points/pt-01-01-017
pt-01-01-018,ent-005,1,1,18,11,手动按钮,PT1层东出口手报18,涂装车间一层,ok,demo/points/pt-01-01-018
pt-01-01-019,ent-005,1,1,19,76,声光警报,PT1层东出口声光19,涂装车间一层,ok,demo/points/pt-01-01-019
pt-01-01-020,ent-005,1,1,20,22,防火阀,PT1层空调机房排烟防火阀20,车间通风系统,ok,demo/points/pt-01-01-020
pt-01-02-001,ent-005,1,2,1,3,点型感烟,调漆间烟感1,调漆间（气体灭火保护区）,ok,demo/points/pt-01-02-001
